day	cases
1	11087
2	11586
3	12377
4	12832
5	13233
6	13820
7	14557
8	14953
9	15775
10	16413
11	16961
12	17941
13	18941
14	19778
15	20802
16	21225
17	21760
18	23004
19	24409
20	26021
21	27725
22	29373
23	31147
24	32981
25	34860
26	36778
27	38726
28	40646
29	42412
30	44278
31	46192
32	47940
33	49985
34	52085
35	54586
36	57092
37	59811
38	62536
39	65327
40	68138
41	70970
42	73854
43	76820
44	79789
45	82818
46	85630
47	88613
48	91573
49	94514
50	97424
51	100310
52	103115
53	106060
54	109031
55	111838
56	114795
57	117679
58	120587
59	126284
60	129208
61	131936
62	134641
63	137360
64	140100
65	142856
66	145634
67	148431
68	151419
69	154322
70	157271
71	160158
72	163072
73	166054
74	168995
75	176475
76	180365
77	184258
78	188807
79	193676
80	198778
81	204257
82	211117
83	218539
84	227403
85	237250
86	248037
87	259554
88	272404
89	285735
90	299786
